X;Y;Z;W
-69;8;20;2
-69;-2;16;2
-69;-15;26;4
-69;-4;23;3
-69;-42;16;4
-68;0;39;5
-68;3;8;4
-68;0;14;3
-68;2;10;2
-67;18;18;1
-67;-4;20;5
-67;0;11;4
-67;3;18;3
-67;-3;16;3
-67;5;22;2
-67;7;21;4
-67;-6;28;5
-66;3;18;5
-66;9;24;5
-66;15;25;5
-66;-4;21;3
-66;-6;28;1
-66;6;20;3
-66;1;27;1
-66;1;21;1
-66;3;16;2
-66;6;9;1
-66;-3;15;1
-65;-2;15;4
-65;4;18;5
-65;-6;18;2
-65;-4;18;3
-65;3;16;2
-65;2;22;4
-65;3;21;4
-65;5;9;1
-65;3;25;3
-65;3;26;5
-65;6;18;1
-65;8;8;4
-65;3;14;5
-65;5;14;2
-65;-1;20;4
-65;0;33;3
-65;2;23;1
-65;5;23;2
-65;11;19;1
-65;-3;19;5
-65;0;20;3
-65;-2;20;5
-65;-31;30;2
-65;11;14;2
-65;8;12;5
-64;-2;15;5
-64;-3;24;3
-64;-4;11;2
-64;2;18;2
-64;9;13;2
-64;1;25;1
-64;5;11;4
-64;-6;16;2
-64;3;21;2
-64;7;12;1
-64;11;18;2
-64;11;15;2
-64;2;20;2
-64;4;34;5
-64;-2;33;4
-64;5;16;2
-64;4;28;3
-64;6;12;2
-64;3;29;2
-64;2;35;2
-64;9;33;1
-64;10;24;1
-64;6;10;2
-64;6;11;4
-64;9;22;5
-64;6;27;2
-64;11;12;2
-64;7;32;2
-63;-1;20;4
-63;2;21;1
-63;4;15;3
-63;4;22;4
-63;5;12;1
-63;12;10;1
-63;7;23;3
-63;5;20;2
-63;3;18;1
-63;13;34;3
-63;2;20;4
-63;6;16;2
-63;22;6;1
-63;25;9;5
-63;7;12;2
-63;3;33;2
-63;8;18;4
-63;6;16;5
-63;6;14;5
-63;-2;28;4
-63;2;30;3
-63;-30;27;4
-62;2;14;4
-62;10;17;5
-62;13;19;4
-62;7;20;2
-62;-1;20;4
-62;10;20;4
-62;8;20;2
-62;1;27;3
-62;9;32;4
-62;1;31;2
-62;-1;34;5
-62;5;18;3
-62;8;16;1
-62;1;24;1
-62;3;17;4
-62;6;29;5
-62;1;24;2
-62;10;25;4
-62;14;16;3
-62;8;36;2
-62;2;31;5
-62;0;38;2
-62;12;20;3
-61;8;23;3
-61;-4;23;2
-61;8;7;1
-61;-1;38;3
-61;9;3;1
-61;5;12;1
-61;6;20;4
-61;6;16;4
-61;5;28;2
-61;-3;34;5
-61;0;25;5
-61;3;12;3
-61;-6;31;4
-61;2;17;4
-61;9;21;2
-61;6;16;4
-61;4;27;2
-61;27;2;4
-61;4;28;1
-61;9;34;5
-61;9;11;3
-60;12;4;2
-60;10;23;3
-60;5;38;1
-60;5;27;2
-60;8;17;1
-60;18;13;2
-60;13;11;3
-60;7;23;2
-60;14;6;4
-60;6;3;5
-60;16;24;4
-60;0;38;3
-60;-2;39;5
-60;7;17;2
-60;10;14;3
-60;9;34;2
-60;4;35;2
-60;6;39;3
-60;7;35;2
-59;2;12;4
-59;11;4;5
-59;20;1;5
-59;0;24;1
-59;9;10;3
-59;5;31;2
-59;3;23;1
-59;3;44;2
-59;-5;48;2
-58;6;13;2
-58;3;39;5
-58;6;47;2
-58;6;20;3
-58;12;38;4
-58;5;34;3
-58;1;39;5
-57;5;21;3
-57;-9;35;4
-57;-8;53;5
-57;11;39;4
-56;1;33;1
-56;10;43;1
-55;6;34;2
-55;3;47;5
-53;10;41;5
-53;-10;56;2
-53;3;47;4
-52;-8;51;5
-52;-3;57;4
-51;-4;55;2
-49;-7;59;5
-47;5;54;4
