X;Y;Z;W
-53;-50;4;4
-52;-29;-10;2
-51;-27;-16;3
-51;-13;-21;4
-51;-18;-20;5
-50;-48;-4;2
-49;-18;-17;3
-48;-48;1;5
-48;-51;6;3
-47;-36;-15;4
-46;-39;-2;3
-46;-5;-25;3
-46;-42;-2;3
-46;-26;-21;2
-45;-25;-17;3
-45;-8;-18;3
-45;-58;15;3
-45;-1;-26;5
-45;1;-31;3
-44;-12;-21;2
-44;2;-24;4
-43;-30;-8;3
-43;-5;-10;4
-43;-1;-15;2
-43;-29;-10;3
-43;2;-29;3
-43;-20;1;2
-42;-16;-14;5
-42;-8;-24;2
-42;-50;-5;5
-42;-25;-15;4
-42;-7;-17;5
-41;-3;-19;5
-41;-11;-18;2
-41;20;2;4
-41;-36;-10;2
-40;-8;-21;5
-40;-17;-14;4
-40;-10;-10;3
-40;1;-13;4
-40;-28;-2;4
-40;-4;-26;3
-40;-11;-16;2
-40;0;-19;5
-40;-4;-20;5
-39;-12;-21;3
-39;11;3;4
-39;-9;-12;2
-39;-13;-28;3
-38;-15;-14;5
-38;-70;-11;3
-38;8;-22;3
-38;-5;-18;4
-37;-64;4;2
-37;-13;-11;4
-37;-3;-16;3
-37;-1;-17;4
-37;-13;-4;3
-37;-28;-11;3
-37;3;-25;3
-37;2;-21;5
-36;-48;5;2
-36;0;-31;2
-36;21;-7;4
-36;-9;-10;2
-35;-19;-17;2
-35;9;-38;5
-34;16;-9;3
-34;16;-14;2
-34;-20;-10;5
-34;31;16;2
-34;4;-25;4
-34;-11;-12;5
-34;18;-9;3
-33;26;23;3
-33;17;-2;4
-33;21;6;3
-33;3;-11;5
-33;28;4;4
-33;-4;-21;5
-33;-12;-20;5
-33;29;4;5
-32;-1;-14;4
-32;-11;-16;3
-32;-1;-23;3
-32;-10;-20;2
-32;-19;-7;3
-32;34;-2;2
-32;-2;-22;4
-32;-21;-13;2
-32;22;-1;5
-32;40;-1;4
-32;23;0;5
-32;19;-11;5
-32;-3;-10;2
-31;0;-9;4
-31;24;9;2
-31;-27;-6;2
-31;29;16;5
-31;24;14;4
-31;23;39;4
-30;8;48;5
-30;18;1;4
-30;35;24;3
-29;36;8;3
-29;28;18;3
-28;34;26;5
-27;28;-2;5
-27;31;4;3
-26;5;-7;4
-26;20;26;5
-25;30;34;2
-25;43;-5;2
-25;29;21;5
-25;17;37;3
-24;2;47;4
-24;37;25;5
-23;38;8;3
-23;36;-9;3
-23;47;-1;4
-21;-41;56;2
-19;16;0;4
-13;21;27;3
